event_id,org_id,title,description,day_offset,start,end,duration_min,location,kind,signup_url
1,ajh,Community Kitchen Dinner Service,Plate and serve the nightly hot meal in Rogers Park.,0,2026-08-07 16:30,2026-08-07 19:30,180,7649 N Paulina St,volunteer,https://example.org/signup
2,gcfd,Saturday Morning Repack Session,Sort and box produce for pantries across Cook County. Closed-toe shoes required.,1,2026-08-08 09:00,2026-08-08 12:00,180,4100 W Ann Lurie Pl,volunteer,https://example.org/signup
3,fru,Weekend Rescue Blitz,Extra drivers needed for surplus pickups citywide.,1,2026-08-08 10:00,2026-08-08 11:00,60,"Citywide, choose your route",volunteer,https://example.org/signup
4,mow,Route Delivery Day,Deliver meals and a friendly check-in to homebound seniors.,1,2026-08-08 10:30,2026-08-08 12:30,120,Pickup: multiple sites,volunteer,https://example.org/signup
5,votes,Voter Registration Pop-Up,Register new voters at the farmers market.,1,2026-08-08 08:00,2026-08-08 12:00,240,Wicker Park Farmers Market,event,https://example.org/signup
6,ajh,Sunday Dinner Service,"Serve the evening meal, every single day of the year.",2,2026-08-09 16:30,2026-08-09 19:30,180,7649 N Paulina St,volunteer,https://example.org/signup
7,paws,Dog Walking Orientation,Required intro before you can walk and socialize shelter dogs.,2,2026-08-09 11:00,2026-08-09 12:30,90,1997 N Clybourn Ave,training,https://example.org/signup
8,nijc,Know Your Rights Training,Get trained to lead rights workshops in your own community.,3,2026-08-10 18:00,2026-08-10 20:00,120,Online,training,https://example.org/signup
9,treehouse,Cat Socializing Hour,Sit with shy cats and help them learn to trust people.,3,2026-08-10 17:00,2026-08-10 18:00,60,7225 N Western Ave,volunteer,https://example.org/signup
10,ref1,Welcome Team Orientation,Learn how apartment setups and airport welcomes work.,4,2026-08-11 18:00,2026-08-11 19:30,90,Online,training,https://example.org/signup
11,hopes,Shelter Homework Lab,Tutor kids in reading and math right inside the shelter.,4,2026-08-11 16:00,2026-08-11 18:00,120,Address shared on signup,volunteer,https://example.org/signup
12,votes,Text Bank Tuesday,Send get-out-the-vote texts together on a video call.,4,2026-08-11 18:30,2026-08-11 20:00,90,Online,volunteer,https://example.org/signup
13,gcfd,Weekday Evening Repack,After-work shift on the warehouse floor.,5,2026-08-12 17:30,2026-08-12 20:00,150,4100 W Ann Lurie Pl,volunteer,https://example.org/signup
